"업종별(1)",2019,2019,2019,2020,2020,2020
"업종별(1)",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"전체",4310,,,4340,30,0.7
"제조업용 로봇",525,,,558,33,6.3
"전문서비스용 로봇",244,,,331,87,35.7
"개인서비스용 로봇",106,,,127,21,19.8
"로봇부품 및 소프트웨어",1360,,,1411,51,3.8
"로봇 시스템",742,,,612,-130,-17.5
"로봇 임베디드",158,,,164,6,3.8
"로봇 서비스",1175,,,1137,-38,-3.2
