업종별(1),2019,2020
전체,9060219,9184506
제조업용 로봇,2944282,2865786
전문서비스용 로봇,319926,461124
개인서비스용 로봇,315893,396583
로봇부품 및 소프트웨어,1754959,1750099
로봇 시스템,1444229,1556946
로봇 임베디드,320633,360672
로봇 서비스,1960298,1793297
